OrderID,CustomerID,ProductID,Quantity,OrderDate
2282,1,4,5,2024-08-26 14:32:57.083000
4197,1,2,2,2024-11-17 14:32:57.660000
5617,1,3,3,2024-07-16 14:32:58.077000
6055,1,1,5,2024-11-20 14:32:58.203000
9432,1,4,2,2024-11-17 14:32:59.167000
48,2,1,2,2024-11-17 14:32:56.360000
514,2,4,5,2024-10-25 14:32:56.507000
896,2,4,3,2024-08-01 14:32:56.623000
2017,2,1,2,2025-02-08 14:32:56.977000
2374,2,4,5,2024-11-17 14:32:57.113000
2381,2,2,3,2024-12-19 14:32:57.117000
2802,2,4,5,2024-05-21 14:32:57.260000
4045,2,4,5,2025-01-11 14:32:57.620000
4163,2,2,5,2024-09-01 14:32:57.650000
4608,2,2,5,2024-12-26 14:32:57.790000
8666,2,4,1,2024-07-03 14:32:58.937000
8890,2,2,5,2025-03-23 14:32:59.017000
9665,2,4,3,2024-05-18 14:32:59.230000
735,3,3,3,2025-04-08 14:32:56.577000
894,3,1,1,2024-10-17 14:32:56.623000
3497,3,3,4,2024-09-27 14:32:57.457000
4228,3,4,5,2024-09-06 14:32:57.670000
4941,3,2,1,2024-07-03 14:32:57.883000
5071,3,4,3,2025-03-16 14:32:57.917000
5613,3,3,2,2024-12-31 14:32:58.077000
6803,3,3,1,2025-02-13 14:32:58.410000
7184,3,3,3,2024-10-16 14:32:58.520000
8295,3,4,2,2024-06-06 14:32:58.840000
1780,4,4,4,2024-09-28 14:32:56.890000
2164,4,2,4,2024-12-08 14:32:57.043000
4371,4,3,5,2025-04-02 14:32:57.707000
4754,4,3,2,2024-05-16 14:32:57.830000
5849,4,1,4,2025-02-06 14:32:58.143000
7102,4,3,3,2025-03-10 14:32:58.497000
7263,4,3,2,2024-10-26 14:32:58.543000
7780,4,4,3,2025-03-13 14:32:58.687000
7851,4,1,1,2024-05-13 14:32:58.707000
496,5,1,3,2024-07-03 14:32:56.500000
1125,5,1,4,2025-02-06 14:32:56.700000
2323,5,2,1,2024-06-24 14:32:57.097000
4444,5,3,1,2024-11-30 14:32:57.733000
5561,5,4,3,2024-07-23 14:32:58.060000
5656,5,2,5,2024-10-22 14:32:58.090000
6686,5,2,3,2024-12-16 14:32:58.380000
7111,5,1,4,2025-04-27 14:32:58.500000
8246,5,3,5,2025-01-31 14:32:58.827000
8573,5,1,3,2024-05-13 14:32:58.910000
437,6,2,4,2025-03-19 14:32:56.480000
2668,6,4,3,2024-11-16 14:32:57.210000
3980,6,4,2,2024-08-08 14:32:57.597000
5487,6,3,2,2025-01-14 14:32:58.040000
6737,6,1,1,2024-09-22 14:32:58.390000
7168,6,2,3,2025-04-30 14:32:58.517000
8227,6,4,3,2025-03-09 14:32:58.820000
8276,6,3,1,2024-10-28 14:32:58.837000
8510,6,2,3,2024-11-18 14:32:58.897000
457,7,3,4,2025-04-10 14:32:56.490000
2131,7,4,1,2024-09-10 14:32:57.030000
2600,7,4,5,2025-03-28 14:32:57.187000
3642,7,1,5,2024-08-07 14:32:57.500000
5203,7,3,2,2024-08-04 14:32:57.957000
5715,7,2,3,2024-11-18 14:32:58.107000
6597,7,2,2,2024-05-29 14:32:58.353000
7548,7,4,1,2025-01-11 14:32:58.623000
8877,7,4,3,2024-06-15 14:32:59.010000
9107,7,3,5,2025-04-13 14:32:59.073000
2192,8,3,3,2024-12-18 14:32:57.053000
2626,8,4,2,2025-01-07 14:32:57.197000
3823,8,1,2,2025-04-29 14:32:57.550000
3830,8,3,5,2025-04-09 14:32:57.553000
5491,8,4,4,2025-02-20 14:32:58.040000
7142,8,3,4,2024-05-02 14:32:58.507000
7870,8,2,2,2025-04-10 14:32:58.710000
8475,8,4,3,2024-08-31 14:32:58.887000
8782,8,2,4,2024-07-19 14:32:58.977000
9641,8,1,1,2025-03-04 14:32:59.223000
9925,8,3,2,2024-08-29 14:32:59.327000
1079,9,1,5,2024-08-16 14:32:56.687000
