Name,OrderDate,ProductName,Quantity
Customer446,2024-05-01 14:32:56.393000,Mouse,1
Customer23,2024-05-01 14:32:56.500000,Mouse,4
Customer776,2024-05-01 14:32:56.750000,Mouse,2
Customer763,2024-05-01 14:32:56.957000,Monitor,3
Customer119,2024-05-01 14:32:57.063000,Laptop,1
Customer677,2024-05-01 14:32:57.150000,Keyboard,2
Customer68,2024-05-01 14:32:57.290000,Laptop,1
Customer312,2024-05-01 14:32:57.353000,Laptop,3
Customer829,2024-05-01 14:32:57.703000,Laptop,2
Customer988,2024-05-01 14:32:57.800000,Mouse,1
Customer945,2024-05-01 14:32:57.830000,Laptop,3
Customer766,2024-05-01 14:32:57.833000,Monitor,1
Customer847,2024-05-01 14:32:57.960000,Mouse,4
Customer924,2024-05-01 14:32:58.117000,Monitor,4
Customer42,2024-05-01 14:32:58.160000,Monitor,2
Customer822,2024-05-01 14:32:58.283000,Monitor,1
Customer121,2024-05-01 14:32:58.293000,Monitor,5
Customer740,2024-05-01 14:32:58.423000,Monitor,2
Customer351,2024-05-01 14:32:58.440000,Monitor,5
Customer620,2024-05-01 14:32:58.480000,Laptop,3
Customer252,2024-05-01 14:32:58.527000,Laptop,3
Customer547,2024-05-01 14:32:58.547000,Mouse,3
Customer532,2024-05-01 14:32:58.627000,Keyboard,1
Customer783,2024-05-01 14:32:58.640000,Mouse,5
Customer772,2024-05-01 14:32:58.713000,Laptop,1
Customer42,2024-05-01 14:32:58.810000,Monitor,4
Customer967,2024-05-01 14:32:58.813000,Monitor,5
Customer994,2024-05-01 14:32:58.823000,Monitor,2
Customer433,2024-05-01 14:32:58.917000,Monitor,2
Customer993,2024-05-01 14:32:59.223000,Monitor,5
Customer729,2024-05-01 14:32:59.300000,Mouse,4
Customer673,2024-05-02 14:32:56.530000,Laptop,4
Customer279,2024-05-02 14:32:56.687000,Keyboard,1
Customer775,2024-05-02 14:32:56.770000,Keyboard,3
Customer212,2024-05-02 14:32:56.780000,Mouse,5
Customer363,2024-05-02 14:32:57.160000,Mouse,1
Customer883,2024-05-02 14:32:57.283000,Mouse,5
Customer42,2024-05-02 14:32:57.453000,Laptop,5
Customer539,2024-05-02 14:32:57.713000,Laptop,2
Customer646,2024-05-02 14:32:57.787000,Keyboard,3
Customer990,2024-05-02 14:32:57.793000,Monitor,3
Customer132,2024-05-02 14:32:57.913000,Keyboard,1
Customer103,2024-05-02 14:32:57.937000,Laptop,2
Customer397,2024-05-02 14:32:57.963000,Keyboard,2
Customer70,2024-05-02 14:32:57.973000,Keyboard,3
Customer69,2024-05-02 14:32:58.207000,Keyboard,2
Customer682,2024-05-02 14:32:58.323000,Laptop,4
Customer7,2024-05-02 14:32:58.507000,Keyboard,4
Customer103,2024-05-02 14:32:58.580000,Monitor,2
Customer857,2024-05-02 14:32:59.070000,Keyboard,5
Customer808,2024-05-02 14:32:59.137000,Laptop,1
Customer105,2024-05-02 14:32:59.290000,Laptop,5
Customer988,2024-05-02 14:32:59.290000,Mouse,1
Customer491,2024-05-02 14:32:59.307000,Laptop,1
Customer516,2024-05-03 14:32:56.373000,Keyboard,4
Customer460,2024-05-03 14:32:56.400000,Monitor,2
Customer164,2024-05-03 14:32:56.453000,Monitor,3
Customer46,2024-05-03 14:32:56.523000,Laptop,2
Customer229,2024-05-03 14:32:56.893000,Keyboard,1
Customer52,2024-05-03 14:32:57.217000,Mouse,4
Customer116,2024-05-03 14:32:57.230000,Keyboard,3
Customer610,2024-05-03 14:32:57.247000,Mouse,5
Customer488,2024-05-03 14:32:57.290000,Laptop,3
Customer42,2024-05-03 14:32:57.290000,Keyboard,4
Customer103,2024-05-03 14:32:57.360000,Mouse,5
Customer139,2024-05-03 14:32:57.467000,Mouse,5
Customer607,2024-05-03 14:32:57.657000,Laptop,2
Customer814,2024-05-03 14:32:57.670000,Monitor,4
Customer812,2024-05-03 14:32:57.800000,Monitor,5
Customer503,2024-05-03 14:32:57.943000,Keyboard,1
Customer677,2024-05-03 14:32:57.960000,Laptop,1
Customer423,2024-05-03 14:32:58.003000,Mouse,3
Customer881,2024-05-03 14:32:58.223000,Keyboard,1
Customer168,2024-05-03 14:32:58.273000,Keyboard,2
Customer609,2024-05-03 14:32:58.350000,Monitor,5
Customer741,2024-05-03 14:32:58.397000,Keyboard,4
Customer198,2024-05-03 14:32:58.420000,Mouse,4
Customer578,2024-05-03 14:32:58.430000,Keyboard,1
Customer637,2024-05-03 14:32:58.583000,Laptop,3
Customer243,2024-05-03 14:32:58.647000,Mouse,4
Customer861,2024-05-03 14:32:58.727000,Keyboard,2
Customer184,2024-05-03 14:32:58.730000,Monitor,3
Customer216,2024-05-03 14:32:58.860000,Mouse,4
Customer904,2024-05-03 14:32:58.950000,Monitor,3
Customer365,2024-05-03 14:32:58.977000,Keyboard,1
Customer685,2024-05-03 14:32:58.980000,Monitor,3
Customer996,2024-05-03 14:32:59.020000,Monitor,5
Customer319,2024-05-03 14:32:59.103000,Mouse,3
Customer529,2024-05-03 14:32:59.140000,Monitor,2
Customer140,2024-05-04 14:32:56.627000,Laptop,4
